Código,Nome,Município,Área,Total de Famílias,Total Famílias 2,Fase,Tipo,Número,Data da Criação,Obtenção,Data da Obtenção,Município IBGE
MT0651000,PE TIJUCA,ROSARIO OESTE,"2.414,78",115,130,4,3,69,04/11/2003,Reconhecimento,04/11/2003,Rosário Oeste
MT0652000,PE TAMOIO,ROSARIO OESTE,"944,6187",16,30,4,3,81,04/11/2003,Reconhecimento,04/11/2003,Rosário Oeste
MT0653000,PE FORQUILHA DO RIO ARRUDA,ROSARIO OESTE,"12.691,29",184,117,4,3,70,04/11/2003,Reconhecimento,04/11/2003,Rosário Oeste
MT0654000,PE TUCANO,ROSARIO OESTE,"115,452",3,18,4,3,71,04/11/2003,Reconhecimento,15/11/2003,Rosário Oeste
MT0655000,PE MANDIOCAL,ROSARIO OESTE,"2.141,76",141,150,4,3,72,04/11/2003,Reconhecimento,04/11/2003,Rosário Oeste
MT0656000,PE CANARIO,ROSARIO OESTE,"722,1238",5,15,3,3,73,04/11/2003,Reconhecimento,13/10/2003,Rosário Oeste
MT0657000,PE BAKAIRI,ROSARIO OESTE,"507,2211",7,18,4,3,74,04/11/2003,Reconhecimento,13/10/2003,Rosário Oeste
MT0658000,PE JOÃO DE BARRO,ROSARIO OESTE,"1.187,95",30,50,4,3,75,04/11/2003,Reconhecimento,04/11/2003,Rosário Oeste
MT0659000,PE CACHOEIRINHA,ROSARIO OESTE,"2.154,08",68,85,3,3,76,04/11/2003,Reconhecimento,04/11/2003,Rosário Oeste
MT0660000,PE MORRO GRANDE,SANTO ANTONIO DO LEVERGER,"1.070,39",255,203,4,3,77,13/11/2003,Reconhecimento,04/11/2003,Santo Antônio Do Leverger
MT0661000,PE BREJINHO,SANTO ANTONIO DO LEVERGER,"5.281,49",65,70,4,3,78,04/11/2003,Reconhecimento,13/10/2003,Santo Antônio Do Leverger
MT0662000,PE IMACULADO CORAÇÃO DE MARIA,ARENAPOLIS,"266,5633",73,73,4,3,79,04/11/2003,Reconhecimento,04/11/2003,Arenápolis
MT0663000,PE TUCUM,CUIABA,"7.938,13",81,110,4,3,80,04/11/2003,Reconhecimento,04/11/2003,Cuiabá
MT0664000,PE MATADOURO,POCONE,"79,6092",42,42,4,3,82,04/11/2003,Reconhecimento,04/11/2003,Poconé
MT0665000,PE CONQUISTA,CUIABA,"366,8085",25,25,3,3,83,04/11/2003,Reconhecimento,04/11/2003,Cuiabá
MT0666000,PCA MULHER,RESERVA DO CABACAL,"141,25",35,35,3,7,88,11/11/2003,Reconhecimento,20/11/1980,Reserva Do Cabaçal
MT0667000,PA RIBEIRÃO GRANDE - III,NOVA MUTUM,"1.597,53",27,27,6,1,90,24/11/2003,Arrecadação,24/11/2003,Nova Mutum
MT0668000,PA KATIRA,CACERES,"1.886,37",48,48,3,1,93,27/09/2003,Desapropriação,05/09/2002,Cáceres
MT0669000,PE AGROVILA DAS ARARAS,PONTAL DO ARAGUAIA,"42,6999",24,26,4,3,94,02/12/2003,Reconhecimento,16/10/2003,Pontal Do Araguaia
MT0670000,PE SANTANA,NOSSA SENHORA DO LIVRAMENTO,"93,7834",44,44,4,3,95,27/11/2003,Reconhecimento,27/11/2003,Nossa Senhora Do Livramento
MT0671000,PE BEIRA RIO,ACORIZAL,"10.358,87",705,746,3,3,97,02/12/2003,Reconhecimento,02/12/2003,Acorizal
MT0672000,PE BREJINHO III,SANTO ANTONIO DO LEVERGER,"3.243,51",30,30,4,3,98,02/12/2003,Reconhecimento,15/10/2003,Santo Antônio Do Leverger
MT0673000,PE LAJINHA DE CIMA,NOSSA SENHORA DO LIVRAMENTO,"1.467,05",107,112,4,3,100,02/12/2003,Reconhecimento,02/12/2003,Nossa Senhora Do Livramento
MT0674000,PE VOLTA DO BANANAL,NOSSA SENHORA DO LIVRAMENTO,"43,4454",21,21,3,3,101,02/12/2003,Reconhecimento,10/11/2003,Nossa Senhora Do Livramento
MT0675000,PE CAMPO ALEGRE DE BAIXO,NOSSA SENHORA DO LIVRAMENTO,"791,5108",73,81,3,3,102,02/12/2003,Reconhecimento,10/11/2003,Nossa Senhora Do Livramento
MT0676000,PE FURNAS DO LIVRAMENTO,NOSSA SENHORA DO LIVRAMENTO,"1.104,81",43,45,4,3,103,02/12/2003,Reconhecimento,02/12/2003,Nossa Senhora Do Livramento
MT0677000,PE FIGUEIRAL,NOSSA SENHORA DO LIVRAMENTO,"1.662,33",140,140,3,3,104,02/12/2003,Reconhecimento,02/12/2003,Nossa Senhora Do Livramento
MT0678000,PE PAI ANDRE,NOSSA SENHORA DO LIVRAMENTO,"1.767,99",59,70,4,3,105,02/12/2003,Reconhecimento,10/11/2003,Nossa Senhora Do Livramento
MT0679000,PE CAMPINAS I,NOSSA SENHORA DO LIVRAMENTO,"123,7596",14,15,3,3,106,02/12/2003,Reconhecimento,10/11/2003,Nossa Senhora Do Livramento
MT0680000,PE SUCURI,NOSSA SENHORA DO LIVRAMENTO,"182,3081",14,15,4,3,107,02/12/2003,Reconhecimento,02/12/2003,Nossa Senhora Do Livramento
MT0681000,PE QUILOMBO I,NOSSA SENHORA DO LIVRAMENTO,"1.811,93",59,70,3,3,108,02/12/2003,Reconhecimento,02/12/2003,Nossa Senhora Do Livramento
MT0682000,PE CELMA I,JACIARA,"11,4364",0,5,4,3,109,02/12/2003,Reconhecimento,02/12/2003,Jaciara
MT0683000,PE PERDIZ,ACORIZAL,"8.286,45",396,398,3,3,110,02/12/2003,Reconhecimento,02/12/2003,Acorizal
