Código,Nome,Município,Área,Total de Famílias,Total Famílias 2,Fase,Tipo,Número,Data da Criação,Obtenção,Data da Obtenção,Município IBGE
MT0806000,PA USIEL PEREIRA,NOVA OLIMPIA,"1.549,43",73,57,3,1,4,15/03/2007,Compra e Venda,28/09/2004,Nova Olímpia
MT0808000,PDS SONHO DE ANDERSON,UNIAO DO SUL,"2.603,37",66,54,3,18,34,02/08/2010,Desapropriação,18/05/2006,União Do Sul
MT0809000,PA MARIA BENVINDA DE AVILA SOARES,ROSARIO OESTE,"6.046,29",89,89,3,1,22,08/05/2007,Compra e Venda,18/12/2006,Rosário Oeste
MT0810000,PA DOM OZORIO STOFELL,CAMPO VERDE,"10.454,00",505,540,3,1,10,02/04/2007,Desapropriação,14/02/2003,Campo Verde
MT0811000,PA RIO DOS COCOS,NOVA NAZARE,"12.921,40",196,196,3,1,14,12/04/2007,Desapropriação,26/09/1986,Nova Nazaré
MT0812000,PA SERRA VERDE,BARRA DO GARCAS,"2.634,88",100,100,3,1,35,16/11/2009,Desapropriação,16/04/2007,Barra Do Garças
MT0813000,PE VILA RURAL SANTO EXPEDITO II,NOVA CANAA DO NORTE,"51,3546",8,11,3,3,23,10/05/2007,Reconhecimento,10/05/2007,Nova Canaã Do Norte
MT0814000,PA MONTE AZUL,PEDRA PRETA,"3.344,27",87,87,3,1,33,09/08/2007,Desapropriação,09/08/2007,Pedra Preta
MT0815000,PA BRIDÃO BRASILEIRO,CONFRESA,"18.656,58",366,400,3,1,35,10/08/2007,Desapropriação,10/08/2007,Confresa
MT0816000,PA MIURA,VILA BELA DA SANTISSIMA TRINDADE,"2.579,22",69,69,3,1,36,15/08/2007,Compra e Venda,15/08/2007,Vila Bela Da Santíssima Trindade
MT0817000,PA BARRA DO MARCO,PONTES E LACERDA,"806,9366",106,91,3,1,37,15/08/2007,Compra e Venda,18/12/2006,Pontes E Lacerda
MT0818000,PA MEDALHA MILAGROSA,ARIPUANA,"27.464,70",215,400,3,1,61,09/11/2007,Desapropriação,24/11/2005,Aripuanã
MT0819000,PA PRIMOROSA,RIBEIRAO CASCALHEIRA,"30.443,64",314,436,3,1,76,17/12/2007,Desapropriação,16/02/2007,Ribeirão Cascalheira
MT0820000,PDS NOVO RENASCER,UNIAO DO SUL,"949,658",22,23,3,18,45,05/10/2010,Compra e Venda,17/03/2008,União Do Sul
MT0821000,PDS TERRA DE VIVER,CLAUDIA,"1.216,99",14,20,3,18,8,28/03/2011,Compra e Venda,09/11/2007,Cláudia
MT0822000,PDS FREI CRISPIN,UNIAO DO SUL,"1.621,04",19,40,3,18,3,18/01/2012,Desapropriação,24/10/2007,União Do Sul
MT0824000,PDS OLGA BENARIO,UNIAO DO SUL,"1.486,72",24,25,3,18,43,27/12/2011,Desapropriação,22/12/2003,União Do Sul
MT0825000,PA SANTA ELINA,NOVA LACERDA,"7.643,52",197,174,3,1,78,18/12/2007,Desapropriação,11/12/2006,Nova Lacerda
MT0826000,PA BOA ESPERANÇA DE JUINA,JUINA,"3.294,95",55,68,3,1,64,12/11/2007,Desapropriação,18/11/2005,Juína
MT0827000,PA JAPURANOMAN,NOVA BANDEIRANTES,"40.027,35",299,321,3,1,65,21/11/2007,Desapropriação,31/08/2001,Nova Bandeirantes
MT0831000,PE VILA RURAL PARAISO,ARAGUAINHA,"69,6096",13,13,3,3,69,30/11/2007,Reconhecimento,30/11/2007,Araguainha
MT0832000,PE VILA RURAL LAÇO DE OURO,SAO PEDRO DA CIPA,"100,418",24,24,4,3,72,12/12/2007,Reconhecimento,12/12/2007,São Pedro Da Cipa
MT0835000,PA RECOMPENSA II,CACERES,"1.225,44",20,20,3,1,11,19/03/2012,Desapropriação,15/07/2008,Cáceres
MT0836000,PE VILA RURAL RIO SANTANA,NORTELANDIA,110,49,50,3,3,77,17/12/2007,Reconhecimento,21/02/2007,Nortelândia
MT0837000,PDS SÃO PAULO,CARLINDA,"2.355,72",47,48,3,18,14,27/03/2012,Desapropriação,11/09/2008,Carlinda
MT0838000,PDS NOVA ALIANÇA,GAUCHA DO NORTE,"2.433,19",73,87,3,18,25,22/09/2009,Compra e Venda,28/03/2008,Gaúcha Do Norte
MT0840000,PDS NOVA CONQUISTA,NOVA OLIMPIA,"2.425,39",66,68,3,18,20,15/05/2012,Compra e Venda,27/12/2007,Nova Olímpia
MT0841000,PDS KENO,CLAUDIA,"22.380,61",487,500,3,18,34,16/11/2009,Compra e Venda,24/01/1992,Cláudia
MT0845000,PA SANTA RITA,RIBEIRAO CASCALHEIRA,"24.834,64",289,331,3,1,33,16/11/2009,Desapropriação,18/12/2008,Ribeirão Cascalheira
MT0850000,PE MUCAMBO,BARAO DE MELGACO,"2.141,85",2,38,3,3,36,13/12/2008,Reconhecimento,25/11/2008,Barão De Melgaço
MT0852000,PE CAPOEIRINHA,BARAO DE MELGACO,"3.982,09",23,34,3,3,37,13/12/2008,Reconhecimento,21/12/2007,Barão De Melgaço
MT0853000,PA GUATAPARA,AGUA BOA,"6.829,62",114,200,3,1,23,11/06/2012,Desapropriação,30/06/2010,Água Boa
MT0854000,PA PAU DALHO,SANTO ANTONIO DO LEVERGER,"1.142,01",26,26,3,1,39,28/11/2011,Desapropriação,18/05/2006,Santo Antônio Do Leverger
MT0855000,PA BARRA DO MARCO II,PONTES E LACERDA,"60,1254",14,14,3,1,12,19/03/2012,Compra e Venda,03/06/1998,Pontes E Lacerda
MT0856000,PDS 12 DE OUTUBRO,CLAUDIA,"6.374,16",132,140,3,18,15,27/03/2012,Compra e Venda,03/07/2009,Cláudia
MT0857000,PA SILVIO RODRIGUES,MIRASSOL D'OESTE,"4.522,36",167,170,3,1,22,23/05/2012,Desapropriação,18/12/2008,Mirassol D'oeste
MT0884000,PCA VIDA NOVA,ALTO BOA VISTA,"431,0973",197,300,3,7,44,18/12/2012,Reconhecimento,18/12/2012,Alto Boa Vista
MT0915000,PDS TABAPUA,NOVO MUNDO,"1.644,38",41,42,3,18,10,28/03/2014,Arrecadação,20/09/2013,Novo Mundo
MT0941000,PA EGIDIO BRUNETTO,JUSCIMEIRA,"1.971,61",70,72,3,1,3,02/02/2015,Desapropriação,26/12/2013,Juscimeira
MT0942000,PA RIO VERDE,NOVA MUTUM,"828,3015",15,15,3,1,26,08/07/2015,Arrecadação,30/12/2010,Nova Mutum
MT0943000,PA SANTA AURELIA,INDIAVAI,"2.161,50",45,85,3,1,57,13/11/2015,Arrecadação,27/02/2014,Indiavaí
MT0944000,PA ZE PAZ,ACORIZAL,"2.571,84",74,72,3,1,8,03/02/2017,Desapropriação,11/02/2005,Acorizal
MT0945000,PDS RIO JATOBA,PARANATINGA,"10.726,02",156,190,3,18,52,21/09/2017,Desapropriação,23/11/1999,Paranatinga
MT0946000,PA SOMAPAR,JURUENA,"12.199,99",260,278,3,1,127,01/02/2018,Desapropriação,26/12/2013,Juruena
MT0947000,PDS NOVA CONQUISTA II,NOVO MUNDO,"2.000,00",95,96,3,18,607,18/04/2018,Desafetação,22/03/2017,Novo Mundo
MT0948000,RTRQ COMUNIDADE QUILOMBOLA MATA CAVALO,NOSSA SENHORA DO LIVRAMENTO,"14.748,34",436,418,3,31,736,04/05/2018,Reconhecimento,04/05/2018,Nossa Senhora Do Livramento
MT0949000,PA NACIONAL,AGUA BOA,"7.449,58",261,267,3,1,1386,21/08/2018,Desapropriação,26/12/2013,Água Boa
MT0950000,PA PASSA VINTE,BARRA DO GARCAS,"8.968,96",271,272,5,1,1387,21/08/2018,Desapropriação,26/12/2013,Barra Do Garças
MT0951000,PDAS GOVERNADOR WILMAR PERES DE FARIAS,BARRA DO GARCAS,"243,958",31,38,3,30,1830,20/11/2018,Doação,20/11/2018,Barra Do Garças
MT0952000,PA MACIFE III,NOVO SANTO ANTONIO,"14.832,70",55,125,3,1,2025,20/11/2020,Desapropriação,20/11/2020,Novo Santo Antônio
MT0953000,PA RICAVILLE,LUCIARA,"1.898,65",25,25,3,1,168,20/09/2023,Escritura Pública de Doação,,Luciara
MT0954000,PA RAIMUNDO VIEIRA III,NOVA GUARITA,"409,7039",12,12,3,1,167,20/09/2023,Desafetação,,Nova Guarita
MT0955000,PDS BOA ESPERANCA,NOVO MUNDO,"6.393,60",95,101,3,18,413,27/02/2024,Arrecadação,,Novo Mundo
MT0956000,PA REASSENTAMENTO BECKHAUSER,SINOP,"1.006,80",28,28,3,1,453,10/04/2024,Escritura Pública de Doação,,Sinop
MT0957000,PDS NOVO MUNDO,NOVO MUNDO,"2.000,53",0,74,3,18,457,10/04/2024,Desafetação,,Novo Mundo
MT0958000,PA MONTE ALEGRE SALOBRA,CACERES,"1.211,15",0,40,3,1,1021,05/03/2025,,,Cáceres
MT0959000,PA XV DE NOVEMBRO,NOVA MUTUM,"367,6843",0,8,3,1,951,10/01/2025,Desafetação,10/01/2025,Nova Mutum
MT0960000,PA RIO CAFE,PRIMAVERA DO LESTE,"514,3432",0,30,3,1,1019,05/02/2025,,,Primavera Do Leste
MT0969000,RTRQ LAGOINHA DE BAIXO,CHAPADA DOS GUIMARAES,"2.514,97",19,50,3,31,775,19/11/2024,,,Chapada Dos Guimarães
MT0970000,RTRQ CAMPINA DE PEDRA,POCONE,"1.779,81",29,45,3,31,775,19/11/2024,,,Poconé
MT0971000,RTRQ LARANJAL,POCONE,"1.472,45",36,53,3,31,775,19/11/2024,,,Poconé
MT0972000,RTRQ  BOCAINA E CAMARINHA,PORTO ESTRELA,"3.572,59",0,147,3,31,775,19/11/2024,,,Porto Estrela
MT9999948,PAR CANAÃ,COLIDER,"18.000,00",32,250,7,16,1,11/09/1982,Discriminação,20/04/1982,Colíder
MT9999952,PA GLEBA TELES PIRES,TERRA NOVA DO NORTE,435,1502,1750,7,1,2,10/10/1982,Discriminação,16/01/1981,Terra Nova Do Norte
MT9999954,PAR GLEBA PARANÁ,COLIDER,"9.520,25",329,350,7,10,1,10/10/1981,Discriminação,21/12/1982,Colíder
MT9999955,PAR GLEBA CARAPÁ,COLIDER,"14.440,00",246,2800,7,10,1,10/01/1982,Discriminação,10/01/1982,Colíder
MT9999985,GLEBA VALE DO XV,GUARANTA DO NORTE,"29.285,90",133,130,4,16,10,08/05/2002,Arrecadação,08/05/2002,Guarantã Do Norte
MT9999989,PAD GLEBA TELES PIRES,TERRA NOVA DO NORTE,"219.376,27",7,800,7,9,8,10/10/1980,Discriminação,12/10/1980,Terra Nova Do Norte
MT9999994,GLEBA CANÃA,NOVA CANAA DO NORTE,"43.372,87",1,800,7,16,2,18/03/1985,Discriminação,20/04/1982,Nova Canaã Do Norte
